127.0.0.1 - - [18/Jun/2022:17:58:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:03:28 +0900] "GET /main_view.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:03:30 +0900] "GET /login_view.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:03:37 +0900] "POST /login_db.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:03:47 +0900] "GET /login_view.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:35:55 +0900] "POST /login_db.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:35:55 +0900] "GET /main_view.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:35:58 +0900] "GET /logout_db.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:35:58 +0900] "GET /login_view.jsp HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:36:15 +0900] "GET /main_view.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [18/Jun/2022:18:36:16 +0900] "GET /login_view.jsp HTTP/1.1" 200 933
