127.0.0.1 - - [27/May/2022:09:53:38 +0900] "GET / HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:47 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:47 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:47 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:47 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:53 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:53 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:53 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:53 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:53 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:53:53 +0900] "-" 400 2148
0:0:0:0:0:0:0:1 - - [27/May/2022:09:54:24 +0900] "GET /reg.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [27/May/2022:09:54:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2022:09:54:32 +0900] "GET /calc.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [27/May/2022:09:54:40 +0900] "GET /calc4.html HTTP/1.1" 200 435
